ensembl_id,gene_symbol
ENSG00000238009,RP11-34P13.7
ENSG00000239945,RP11-34P13.8
ENSG00000237683,AL627309.1
ENSG00000228463,AP006222.2
ENSG00000237094,RP4-669L17.10
ENSG00000230021,RP5-857K21.4
ENSG00000235373,RP11-206L10.3
ENSG00000240618,RP11-206L10.5
ENSG00000228327,RP11-206L10.2
ENSG00000237491,RP11-206L10.9
ENSG00000177757,FAM87B
ENSG00000225880,LINC00115
ENSG00000230368,FAM41C
ENSG00000187634,SAMD11
ENSG00000188976,NOC2L
ENSG00000187961,KLHL17
ENSG00000187583,PLEKHN1
ENSG00000187642,C1orf170
ENSG00000188290,HES4
ENSG00000224969,RP11-54O7.11
ENSG00000187608,ISG15
ENSG00000188157,AGRN
ENSG00000273443,RP11-54O7.18
ENSG00000131591,C1orf159
ENSG00000272141,RP11-465B22.8
ENSG00000205231,TTLL10-AS1
ENSG00000162571,TTLL10
ENSG00000186891,TNFRSF18
ENSG00000186827,TNFRSF4
ENSG00000078808,SDF4
ENSG00000176022,B3GALT6
ENSG00000184163,FAM132A
ENSG00000260179,RP5-902P8.12
ENSG00000160087,UBE2J2
ENSG00000230415,RP5-902P8.10
ENSG00000162572,SCNN1D
ENSG00000131584,ACAP3
ENSG00000169972,PUSL1
ENSG00000127054,CPSF3L
ENSG00000224051,GLTPD1
ENSG00000169962,TAS1R3
ENSG00000107404,DVL1
ENSG00000162576,MXRA8
ENSG00000175756,AURKAIP1
ENSG00000221978,CCNL2
ENSG00000224870,RP4-758J18.2
ENSG00000242485,MRPL20
ENSG00000272455,RP4-758J18.13
ENSG00000235098,ANKRD65
ENSG00000215915,ATAD3C
ENSG00000160072,ATAD3B
ENSG00000197785,ATAD3A
ENSG00000205090,TMEM240
ENSG00000160075,SSU72
ENSG00000215014,AL645728.1
ENSG00000228594,C1orf233
ENSG00000272106,RP11-345P4.9
ENSG00000197530,MIB2
ENSG00000189409,MMP23B
ENSG00000248333,CDK11B
ENSG00000272004,RP11-345P4.10
ENSG00000189339,SLC35E2B
ENSG00000269737,RP11-345P4.7
ENSG00000008128,CDK11A
ENSG00000215790,SLC35E2
ENSG00000008130,NADK
ENSG00000078369,GNB1
ENSG00000231050,RP1-140A9.1
ENSG00000169885,CALML6
ENSG00000178821,TMEM52
ENSG00000142609,C1orf222
ENSG00000226969,RP11-547D24.3
ENSG00000067606,PRKCZ
ENSG00000271806,RP5-892K4.1
ENSG00000182873,RP11-181G12.2
ENSG00000162585,C1orf86
ENSG00000269554,AL590822.2
ENSG00000203301,AL590822.1
ENSG00000157933,SKI
ENSG00000116151,MORN1
ENSG00000157916,RER1
ENSG00000157911,PEX10
ENSG00000149527,PLCH2
ENSG00000224387,RP3-395M20.2
ENSG00000229393,RP3-395M20.3
ENSG00000157881,PANK4
ENSG00000272449,RP3-395M20.12
ENSG00000157873,TNFRSF14
ENSG00000225931,RP3-395M20.7
ENSG00000228037,RP3-395M20.9
ENSG00000157870,FAM213B
ENSG00000142606,MMEL1
ENSG00000215912,TTC34
ENSG00000142611,PRDM16
ENSG00000130762,ARHGEF16
ENSG00000272088,RP11-168F9.2
ENSG00000162591,MEGF6
ENSG00000238260,RP11-46F15.2
ENSG00000158109,TPRG1L
ENSG00000116213,WRAP73
ENSG00000078900,TP73
ENSG00000227372,TP73-AS1
ENSG00000235169,SMIM1
ENSG00000130764,LRRC47
ENSG00000272153,RP1-286D6.5
ENSG00000116198,CEP104
ENSG00000169598,DFFB
ENSG00000198912,C1orf174
ENSG00000236423,LINC01134
ENSG00000196581,AJAP1
ENSG00000236948,RP11-154H17.1
ENSG00000131697,NPHP4
ENSG00000069424,KCNAB2
ENSG00000116254,CHD5
ENSG00000116251,RPL22
ENSG00000226944,RP1-120G22.11
ENSG00000158286,RNF207
ENSG00000116237,ICMT
ENSG00000225077,LINC00337
ENSG00000158292,GPR153
ENSG00000097021,ACOT7
ENSG00000271746,RP1-202O8.3
ENSG00000069812,HES2
ENSG00000187017,ESPN
ENSG00000215788,TNFRSF25
ENSG00000171680,PLEKHG5
ENSG00000162408,NOL9
ENSG00000173662,TAS1R1
ENSG00000204859,ZBTB48
ENSG00000162413,KLHL21
ENSG00000116273,PHF13
ENSG00000041988,THAP3
ENSG00000007923,DNAJC11
ENSG00000228750,RP11-242F24.1
ENSG00000237436,RP11-312B8.1
ENSG00000171735,CAMTA1
ENSG00000270171,RP11-338N10.1
ENSG00000270035,RP11-338N10.2
ENSG00000269978,RP11-338N10.3
ENSG00000049245,VAMP3
ENSG00000049246,PER3
ENSG00000236266,RP3-467L1.4
ENSG00000049247,UTS2
ENSG00000049249,TNFRSF9
ENSG00000116288,PARK7
ENSG00000116285,ERRFI1
ENSG00000238290,RP11-431K24.1
ENSG00000162426,SLC45A1
ENSG00000142599,RERE
ENSG00000232912,RP5-1115A15.1
ENSG00000228423,RP4-633I8.4
ENSG00000074800,ENO1
ENSG00000230679,ENO1-AS1
ENSG00000131686,CA6
ENSG00000197241,SLC2A7
ENSG00000142583,SLC2A5
ENSG00000180758,GPR157
ENSG00000228526,RP3-510D11.1
ENSG00000234546,RP3-510D11.2
ENSG00000049239,H6PD
ENSG00000171621,SPSB1
ENSG00000171612,SLC25A33
ENSG00000188807,TMEM201
ENSG00000171608,PIK3CD
ENSG00000179840,C1orf200
ENSG00000231789,RP11-558F24.4
ENSG00000171603,CLSTN1
ENSG00000178585,CTNNBIP1
ENSG00000162441,LZIC
ENSG00000173614,NMNAT1
ENSG00000162444,RBP7
ENSG00000130939,UBE4B
ENSG00000054523,KIF1B
ENSG00000142657,PGD
ENSG00000271989,RP4-736L20.3
ENSG00000175279,APITD1
ENSG00000251503,APITD1-CORT
ENSG00000241563,CORT
ENSG00000160049,DFFA
ENSG00000203469,RP5-1113E3.3
ENSG00000142655,PEX14
ENSG00000130940,CASZ1
ENSG00000272078,RP4-734G22.3
ENSG00000175262,C1orf127
ENSG00000120948,TARDBP
ENSG00000009724,MASP2
ENSG00000271895,RP4-635E18.8
ENSG00000116649,SRM
ENSG00000171824,EXOSC10
ENSG00000226849,RP4-635E18.7
ENSG00000230337,RP4-635E18.6
ENSG00000198793,MTOR
ENSG00000120942,UBIAD1
ENSG00000204624,PTCHD2
ENSG00000235643,RP1-69M21.2
ENSG00000116661,FBXO2
ENSG00000132879,FBXO44
ENSG00000116663,FBXO6
ENSG00000116670,MAD2L2
ENSG00000162490,DRAXIN
ENSG00000177674,AGTRAP
ENSG00000215910,C1orf167
ENSG00000177553,RP11-56N19.5
ENSG00000177000,MTHFR
ENSG00000011021,CLCN6
ENSG00000242349,NPPA-AS1
ENSG00000175206,NPPA
ENSG00000116685,KIAA2013
ENSG00000083444,PLOD1
ENSG00000116688,MFN2
ENSG00000116691,MIIP
ENSG00000120949,TNFRSF8
ENSG00000028137,TNFRSF1B
ENSG00000048707,VPS13D
ENSG00000229484,RP5-888M10.2
ENSG00000162496,DHRS3
ENSG00000272482,RP11-474O21.5
ENSG00000179172,HNRNPCL1
ENSG00000116731,PRDM2
ENSG00000189337,KAZN
ENSG00000171729,TMEM51
ENSG00000142621,FHAD1
ENSG00000233485,RP3-467K16.2
ENSG00000228140,RP3-467K16.4
ENSG00000142634,EFHD2
ENSG00000162438,CTRC
ENSG00000142615,CELA2A
ENSG00000132906,CASP9
ENSG00000116138,DNAJC16
ENSG00000272510,RP4-680D5.8
ENSG00000116771,AGMAT
ENSG00000237301,RP4-680D5.2
ENSG00000197312,DDI2
ENSG00000116786,PLEKHM2
ENSG00000237938,RP11-288I21.1
ENSG00000162461,SLC25A34
ENSG00000162458,FBLIM1
ENSG00000179743,RP11-169K16.9
ENSG00000065526,SPEN
ENSG00000116809,ZBTB17
ENSG00000185519,FAM131C
ENSG00000142627,EPHA2
ENSG00000227959,RP11-276H7.2
ENSG00000142632,ARHGEF19
ENSG00000204377,C1orf134
ENSG00000132881,RSG1
ENSG00000037637,FBXO42
ENSG00000055070,SZRD1
ENSG00000187144,SPATA21
ENSG00000157191,NECAP2
ENSG00000226029,RP4-798A10.2
ENSG00000261135,RP4-798A10.7
ENSG00000224174,RP4-798A10.4
ENSG00000219481,NBPF1
ENSG00000215908,CROCCP2
ENSG00000058453,CROCC
ENSG00000228549,U1-1
ENSG00000238142,RP11-108M9.4
ENSG00000272426,RP11-108M9.6
ENSG00000117122,MFAP2
ENSG00000226526,RP1-37C10.3
ENSG00000159363,ATP13A2
ENSG00000117118,SDHB
ENSG00000117115,PADI2
ENSG00000159339,PADI4
ENSG00000179051,RCC2
ENSG00000074964,ARHGEF10L
ENSG00000255275,RP13-279N23.2
ENSG00000159423,ALDH4A1
ENSG00000169991,IFFO2
ENSG00000127481,UBR4
ENSG00000230424,RP1-43E13.2
ENSG00000127463,EMC1
ENSG00000053372,MRTO4
ENSG00000162482,AKR7A3
ENSG00000053371,AKR7A2
ENSG00000040487,PQLC2
ENSG00000077549,CAPZB
ENSG00000235185,RP5-1056L3.1
ENSG00000270136,MINOS1-NBL1
ENSG00000173436,MINOS1
ENSG00000158747,NBL1
ENSG00000158748,HTR6
ENSG00000162542,TMCO4
ENSG00000169914,OTUD3
ENSG00000117215,PLA2G2D
ENSG00000158786,PLA2G2F
ENSG00000187980,PLA2G2C
ENSG00000225986,UBXN10-AS1
ENSG00000162543,UBXN10
ENSG00000158816,VWA5B1
ENSG00000226664,RP4-745E8.2
ENSG00000162545,CAMK2N1
ENSG00000090432,MUL1
ENSG00000158825,CDA
ENSG00000158828,PINK1
ENSG00000117242,PINK1-AS
ENSG00000244038,DDOST
ENSG00000117245,KIF17
ENSG00000189410,SH2D5
ENSG00000127483,HP1BP3
ENSG00000203394,RP5-930J4.4
ENSG00000075151,EIF4G3
ENSG00000117298,ECE1
ENSG00000236936,RP3-329E20.2
ENSG00000231105,RP5-1071N3.1
ENSG00000142794,NBPF3
ENSG00000076864,RAP1GAP
ENSG00000090686,USP48
ENSG00000187942,LDLRAD2
ENSG00000142798,HSPG2
ENSG00000228397,RP1-224A6.3
ENSG00000218510,LINC00339
ENSG00000070831,CDC42
ENSG00000271840,RP1-224A6.9
ENSG00000162552,WNT4
ENSG00000184677,ZBTB40
ENSG00000173372,C1QA
ENSG00000159189,C1QC
ENSG00000173369,C1QB
ENSG00000133216,EPHB2
ENSG00000227868,C1orf234
ENSG00000004487,KDM1A
ENSG00000240553,RP1-184J9.2
ENSG00000169641,LUZP1
ENSG00000261326,RP5-1057J7.6
ENSG00000125944,HNRNPR
ENSG00000125945,ZNF436
ENSG00000249087,C1orf213
ENSG00000271420,RP5-1057J7.7
ENSG00000204219,TCEA3
ENSG00000088280,ASAP3
ENSG00000007968,E2F2
ENSG00000235052,RP1-150O5.3
ENSG00000117318,ID3
ENSG00000197880,MDS2
ENSG00000142676,RPL11
ENSG00000011007,TCEB3
ENSG00000236810,RP5-886K2.3
ENSG00000057757,PITHD1
ENSG00000011009,LYPLA2
ENSG00000117308,GALE
ENSG00000117305,HMGCL
ENSG00000179163,FUCA1
ENSG00000188822,CNR2
ENSG00000189266,PNRC2
ENSG00000188529,SRSF10
ENSG00000142661,MYOM3
ENSG00000185436,IFNLR1
ENSG00000158055,GRHL3
ENSG00000001460,STPG1
ENSG00000001461,NIPAL3
ENSG00000117602,RCAN3
ENSG00000264443,RP4-594I10.3
ENSG00000184454,NCMAP
ENSG00000133226,SRRM1
ENSG00000169504,CLIC4
ENSG00000020633,RUNX3
ENSG00000229162,RP11-84D1.1
ENSG00000261025,RP11-84D1.2
ENSG00000233755,RP4-799D16.1
ENSG00000117614,SYF2
ENSG00000117616,C1orf63
ENSG00000272432,RP3-465N24.6
ENSG00000187010,RHD
ENSG00000183726,TMEM50A
ENSG00000188672,RHCE
ENSG00000204178,TMEM57
ENSG00000157978,LDLRAP1
ENSG00000225643,RP11-70P17.1
ENSG00000117643,MAN1C1
ENSG00000233478,RP1-187B23.1
ENSG00000162430,SEPN1
ENSG00000228172,RP1-317E23.3
ENSG00000117640,MTFR1L
ENSG00000223474,AL020996.1
ENSG00000272478,RP1-317E23.7
ENSG00000127423,AUNIP
ENSG00000236528,RP1-125I3.2
ENSG00000182749,PAQR7
ENSG00000117632,STMN1
ENSG00000158006,PAFAH2
ENSG00000158008,EXTL1
ENSG00000158014,SLC30A2
ENSG00000158022,TRIM63
ENSG00000175087,PDIK1L
ENSG00000142684,ZNF593
ENSG00000236782,RP11-96L14.7
ENSG00000142675,CNKSR1
ENSG00000188782,CATSPER4
ENSG00000130695,CEP85
ENSG00000142669,SH3BGRL3
ENSG00000158062,UBXN11
ENSG00000169442,CD52
ENSG00000176092,AIM1L
ENSG00000176083,ZNF683
ENSG00000131914,LIN28A
ENSG00000117682,DHDDS
ENSG00000225891,RP3-476K8.3
ENSG00000198830,HMGN2
ENSG00000117676,RPS6KA1
ENSG00000260063,RP5-968P14.2
ENSG00000117713,ARID1A
ENSG00000060642,PIGV
ENSG00000204160,ZDHHC18
ENSG00000175793,SFN
ENSG00000142751,GPN2
ENSG00000198746,GPATCH3
ENSG00000090273,NUDC
ENSG00000175707,C1orf172
ENSG00000253368,TRNP1
ENSG00000090020,SLC9A1
ENSG00000142784,WDTC1
ENSG00000186501,TMEM222
ENSG00000142765,SYTL1
ENSG00000142733,MAP3K6
ENSG00000174950,CD164L2
ENSG00000181773,GPR3
ENSG00000158195,WASF2
ENSG00000241169,RP4-752I6.1
ENSG00000237429,RP1-159A19.4
ENSG00000126705,AHDC1
ENSG00000000938,FGR
ENSG00000233975,RP11-288L9.1
ENSG00000126709,IFI6
ENSG00000225886,RP11-288L9.4
ENSG00000009780,FAM76A
ENSG00000117758,STX12
ENSG00000117751,PPP1R8
ENSG00000268552,AL109927.1
ENSG00000130775,THEMIS2
ENSG00000117748,RPA2
ENSG00000130768,SMPDL3B
ENSG00000227050,RP11-460I13.2
ENSG00000158156,XKR8
ENSG00000158161,EYA3
ENSG00000169403,PTAFR
ENSG00000126698,DNAJC8
ENSG00000269804,AL353354.2
ENSG00000130770,ATPIF1
ENSG00000270605,RP5-1092A3.4
ENSG00000271398,RP5-1092A3.5
ENSG00000130766,SESN2
ENSG00000130772,MED18
ENSG00000204138,PHACTR4
ENSG00000180198,RCC1
ENSG00000180098,TRNAU1AP
